pond,T_avg,DO_avg,SPC_avg,pH_avg,FNU_avg,surface_area,volume,sa_v_ratio,altitude,canopy,catchment,draw_r,draw_r_perc,draw_avg,draw_avg_perc,depth,emergent,overhanging,surface,submerged_cov,submerged_vol,meanT_HW_bottom,meanT_HW_surface,meanT_HW,meanT,meanT_bottom,meanT_surface,TR,HW_TR,DD_Slope,DD_Yint,perDD
H01,12.87,9.52,120.97,6.7,1.17,787,2880.77,3.66044373,2499,48.75,4516,7.196328,0.24980578,459.106316,15.93693495,2.667,1,1,1,low,low,15.02,21.25,18.14,14.15,12.03,16.27,0.57,0.98,-0.363,106,15.1
H02a,14.73,9.3,126.43,7.19,0.53,2565,4485.16,1.74860135,2415,7.75,17289,0.390906,0.008715537,941.5690863,20.99297615,1.7272,2,1,1,moderate,moderate,NA,NA,NA,14.22,12.83,15.61,0.63,NA,-0.006,67.6,0.391
H02b,14.1,9.57,181.87,7.5,0.3,6345,15793.8,2.489173076,2519,27.75,32345,0.8541639,0.005408222,3503.993934,22.1858782,2.5908,1,2,1,high,moderate,19.29,24.47,21.88,17.3,15.83,18.78,0.46,0.94,-0.00534,102,0.231
H04,16.57,8.93,12.1,6.84,0.23,5929,40034.14,6.752258427,2501,0,16874,87.346028,0.218178853,3405.237002,8.505832732,2.6162,2,1,1,moderate,low,23.86,26.01,24.94,18.99,17.46,20.52,0.07,0.55,-0.584,105,24.6
H05,16.67,8.37,7.47,6.41,2.47,913,1606.75,1.759862518,2513,0.25,3147,11.131296,0.692781389,330.5075626,20.56988588,1.5875,3,1,1,moderate,moderate,25.19,26.38,25.78,20.03,19.8,20.25,0.11,0.27,-0.484,64.6,33
H06,14.17,9.8,139.3,7.09,0.13,3598,17390.09,4.833266829,2408,57.75,19273,6.1230764,0.03521014,1842.594538,10.59565597,2.3876,1,2,2,high,moderate,19.7,23.67,21.68,17.03,15.74,18.32,0.41,0.91,-0.0671,93.9,3.14
H09,15.27,7.01,116,6.99,0.23,4641,5912.39,1.27394813,2385,50.5,11558,15.324582,0.259194226,1592.318196,26.93187213,1.60655,1,1,1,low,moderate,20.75,25.08,22.91,18.29,16.87,19.72,0.4,0.88,-0.133,63.6,9.23
H10,14.47,9,19.13,6.73,1.83,3877,2907.25,0.749871704,2460,13.25,34204,33.481772,1.151663672,864.6025725,29.73950642,0.9906,3,1,2,moderate,high,20.88,24.2,22.54,17.96,17.03,18.89,0.44,0.81,-0.339,40.1,37.2
H12,12.8,6.2,14.33,5.8,4.3,117,NA,NA,2530,94.25,117,-0.44577,NA,17.83077436,NA,1.4605,5,1,1,low,low,16.91,19.33,18.12,14.36,13.13,15.58,0.52,0.5,0.152,37.1,-18.1
H21,17.37,8.22,7.03,6.19,22.1,457,NA,NA,2511,0,867,3.714496,NA,37.25681225,NA,0.381,2,1,2,moderate,moderate,NA,NA,NA,16.52,17.13,15.91,-0.01,NA,-0.319,14.8,95.1
H23,13.73,10.59,179.43,9.05,3.47,3042,NA,NA,2447,0,23770,16.998696,NA,1063.910245,NA,1.5875,1,1,4,high,high,13,23.59,18.29,14.95,11.7,18.21,0.88,1,-0.215,60.6,15.6
H24,13.3,3.16,85.1,4.47,0.87,218,NA,NA,2421,27,2992,3.709924,NA,41.44454719,NA,0.6858,6,2,1,low,low,NA,NA,NA,NA,NA,NA,NA,NA,-0.674,29.7,99.9
H25,8.93,6.3,129.63,7,1.83,538,2212.32,4.112115787,2452,79.75,9026,8.062468,0.364435263,215.7717633,9.753197085,1.7018,2,1,6,high,moderate,10.25,18.09,14.17,11.72,9.59,13.84,0.9,1,-0.587,72.2,35.8
H27,14.6,11.67,173.67,8.87,0.87,1641,6400.91,3.900614419,2471,39.5,16279,-22.091142,-0.345125115,760.0487508,11.87407661,2.3114,2,1,2,high,high,16.47,23.8,20.14,16.42,14.1,18.74,0.62,0.97,0.527,86.5,-26.8
H32,14.53,4.95,83.07,6.81,3.87,894,NA,NA,2420,94.25,6460,10.899648,NA,116.4293404,NA,0.5588,6,6,1,low,low,NA,NA,NA,15.55,15.95,15.15,0.2,NA,-0.481,23.2,91.3
H48,15.63,8.21,86.13,6.74,1,3075,8290.17,2.695989461,2504,14,16386,24.21255,0.292063456,1664.761719,20.0811588,2.3368,3,1,1,low,moderate,19.71,25.61,22.66,17.51,15.32,19.69,0.44,0.92,-0.314,96.5,14.3
H52,15.33,7.21,12.37,6.45,0.67,580,1374.4,2.369646738,2538,3.75,3371,5.30352,0.385880302,248.2207287,18.06036177,1.8161,4,1,1,low,low,16.08,25.25,20.67,16.76,13.74,19.79,0.73,0.98,-0.364,75.3,21.3
H53,15.6,8.38,12.2,6.17,1.87,23,NA,NA,2525,19,23,0.426466,NA,7.181033571,NA,1.32715,6,6,1,low,low,20.65,22.32,21.49,17.61,16.6,18.63,0.43,0.39,-0.734,55.5,58.2
H55,15.67,5.26,124.27,6.57,11.97,24400,NA,NA,2525,5,31936,136.3472,NA,5074.61648,NA,1.4605,4,3,4,low,low,21.35,26.25,23.8,18.19,16.15,20.23,0.55,0.89,-0.223,45.6,21.5
H99,12.3,3.15,208.73,6.54,0.83,9177,NA,NA,2355,35.25,39372,-11.4216942,NA,3049.5494,NA,1.6637,5,3,2,low,low,14.75,21.03,17.89,15.08,13.37,16.8,0.75,0.95,0.0494,63.9,-3.4
