pond,surface_area_m,vol_degree,vol_m,max_depth_f,max_depth_m
H10,4256,0.00,"2,500.95",3.125,0.953
H02a,2668,0.00,"2,737.91",5.625,1.715
H01,837,0.00,"1,759.05",9,2.743
H02b,7175,0.00,"13,385.01",9,2.743
H25,636,0.00,666.99,5.54,1.689
H27,1714,0.00,"4,692.11",12,3.658
H04,12170,0.00,"38,540.65",20,6.096
H53,23,,9.64,4.354,1.327
H12,117,,34.18,4.792,1.461
H21,457,,46.43,1.25,0.381
H05,1039,0.00,"1,020.77",5.208,1.588
H06,3759,0.00,"15,170.81",19,5.791
H23,3042,,1635.48,5.292,1.613
H24,218,,52.60,2.375,0.724
H09,5039,0.00,"6,582.79",5.271,1.607
H32,894,,143.81,1.833,0.559
H99,9177,,,5.521,1.683
H52,649,0.00,867.02,6.208,1.892
H48,3355,0.00,"7,295.68",10,3.048
H55,24400,,,3.208,0.978
